account_npi,call_type,call_record_type,date,account_target_type,territory
,Sample Only,HCP Call,,DSA TOP 30,3602S1
7E477F6C3C,Detail with Sample,P2P Call,4/27/2024,DSA NT AFFILIATE,3301A1
,Detail with Sample,P2P Call,,DSA NEXT BEST,3401S1
1304349143,Group Detail,Event Call Report,4/30/2024,DSS TOP 30,3203S1
2540586308,Call Only,Sampled Call,2/4/2024,DSA TOP 30,3102A1
2111533705,Group Detail,Non-Sampled Call,7/19/2024,DSS TOP 30,3201S1
1246191306,Detail with Sample,Marketing Event,5/8/2024,DSA NEXT BEST,3401S1
1606631180,Sample Only,POC Call Report,12/19/2024,DSA TOP 30,3101A1
,Sample Only,Event Call Report,2/15/2024,DSS TOP 30,3102A1
E479DAB1B1,Group Detail,Marketing Event,8/11/2024,DSA NEXT BEST,3301A1
1790569592,Detail with Sample,Sampled Call,12/21/2024,NON-TARGET,3402S1
2115864932,Detail with Sample,POC Call Report,8/2/2024,NON-TARGET,3401S1
1852020823,Detail Only,SAM HCO Call Report,5/19/2024,DSA NT AFFILIATE,3502S1
2355275419,Detail with Sample,SAM HCO Call Report,2/26/2024,DSA TOP 30,3401S1
,Sample Only,P2P Call,6/11/2024,DSA TOP 30,3501A1
2405540994,Group Detail,Sampled Call,3/30/2024,NON-TARGET,3302A1
,Call Only,POC Call Report,,NON-TARGET,3602S1
2167825047,Sample Only,SAM HCO Call Report,9/30/2024,DSS TOP 30,3202S1
1603639988,Detail Only,Group Training,6/21/2024,DSS TOP 30,3201S1
1217786753,Sample Only,POC Call Report,9/22/2024,NON-TARGET,3303A1
2104617069,Call Only,Non-Sampled Call,12/30/2024,NON-TARGET,3402S1
,Detail with Sample,POC Call Report,,DSA TOP 30,3602S1
2737499091,Detail Only,Group Training,4/20/2024,DSS TOP 30,3602S1
1152608467,Call Only,SAM HCO Call Report,6/20/2024,DSA TOP 30,3501A1
1678951938,Sample Only,Group Training,5/21/2024,NON-TARGET,3301A1
1379146747,Detail Only,Event Call Report,8/17/2024,DSA NEXT BEST,3601A1
1434533285,Group Detail,Event Call Report,4/24/2024,DSA NT AFFILIATE,3602S1
,Group Detail,Sampled Call,6/13/2024,DSA NEXT BEST,3201S1
,Detail Only,Event Call Report,,DSA NT AFFILIATE,3402S1
1971163116,Detail Only,Group Training,8/17/2024,DSA TOP 30,3301A1
1704663010,Detail with Sample,HCP Call,4/15/2024,DSA NT AFFILIATE,3201S1
2719383180,Sample Only,HCP Call,9/19/2024,DSS TOP 30,3103A1
1633903511,Call Only,Event Call Report,12/11/2024,NON-TARGET,3103A1
,Detail Only,Sampled Call,,DSS TOP 30,3102A1
2704123211,Sample Only,SAM HCO Call Report,4/22/2024,DSA NEXT BEST,3402S1
2619184225,Sample Only,POC Call Report,3/8/2024,DSA NT AFFILIATE,3601A1
2081205169,Call Only,Non-Sampled Call,6/15/2024,DSA TOP 30,3501A1
1527198667,Sample Only,Group Training,12/12/2024,DSA NT AFFILIATE,3301A1
2417509599,Group Detail,Marketing Event,1/21/2024,DSA TOP 30,3203S1
2760875241,Sample Only,Sampled Call,,DSA NEXT BEST,3602S1
1745999936,Detail with Sample,Sampled Call,8/11/2024,DSS TOP 30,3501A1
1220248783,Group Detail,Sampled Call,,DSA NT AFFILIATE,3301A1
,Sample Only,POC Call Report,,DSA NEXT BEST,3401S1
6694670966,Sample Only,Event Call Report,1/5/2024,DSA TOP 30,3202S1
2682600677,Detail Only,POC Call Report,5/13/2024,DSS TOP 30,3103A1
1227359922,Call Only,Marketing Event,6/5/2024,DSS TOP 30,3501A1
,Sample Only,Event Call Report,8/6/2024,DSS TOP 30,3303A1
2462882420,Call Only,Group Training,11/14/2024,DSA NEXT BEST,3502S1
2878018122,Call Only,Group Training,12/24/2024,DSS TOP 30,3303A1
1434533285,Call Only,Non-Sampled Call,2/27/2024,NON-TARGET,3401S1
,Detail Only,Event Call Report,2/7/2024,DSS TOP 30,3501A1
,Group Detail,SAM HCO Call Report,10/17/2024,DSA NEXT BEST,3601A1
0C7458616F,Call Only,Marketing Event,12/18/2024,DSA NT AFFILIATE,3502S1
2273740304,Detail with Sample,P2P Call,9/6/2024,NON-TARGET,3401S1
2549777916,Detail with Sample,SAM HCO Call Report,1/6/2024,DSA TOP 30,3303A1
2580948616,Sample Only,SAM HCO Call Report,1/5/2024,DSA NT AFFILIATE,3601A1
1501459489,Detail with Sample,HCP Call,6/20/2024,DSA TOP 30,3502S1
2156430007,Sample Only,SAM HCO Call Report,9/14/2024,DSA NEXT BEST,3202S1
,Detail with Sample,Group Training,7/20/2024,DSS TOP 30,3501A1
1141638245,Detail with Sample,HCP Call,2/10/2024,DSA TOP 30,3402S1
2242602452,Detail with Sample,HCP Call,10/12/2024,DSA NEXT BEST,3502S1
1657141447,Group Detail,HCP Call,1/2/2024,DSA NT AFFILIATE,3201S1
2163069921,Detail with Sample,Sampled Call,10/3/2024,NON-TARGET,3601A1
2528433408,Call Only,HCP Call,6/19/2024,NON-TARGET,3102A1
2967838406,Detail Only,HCP Call,,DSA NEXT BEST,3301A1
3E07EDC1AD,Sample Only,Sampled Call,6/4/2024,DSS TOP 30,3201S1
1759764374,Detail with Sample,Marketing Event,11/25/2024,DSA NEXT BEST,3501A1
,Sample Only,Non-Sampled Call,4/5/2024,DSA NT AFFILIATE,3302A1
1007269465,Detail Only,SAM HCO Call Report,4/21/2024,DSA NEXT BEST,3401S1
2580948616,Group Detail,Event Call Report,,DSS TOP 30,3303A1
,Detail Only,POC Call Report,2/5/2024,DSA NEXT BEST,3502S1
,Call Only,POC Call Report,10/1/2024,DSA NT AFFILIATE,3103A1
1045727821,Group Detail,Non-Sampled Call,3/28/2024,NON-TARGET,3401S1
2226961544,Sample Only,Event Call Report,3/29/2024,DSA NEXT BEST,3501A1
2881914481,Detail with Sample,HCP Call,9/15/2024,NON-TARGET,3601A1
1825005901,Detail Only,Event Call Report,,DSA NT AFFILIATE,3401S1
1148989252,Call Only,Non-Sampled Call,4/24/2024,DSA NEXT BEST,3303A1
,Group Detail,POC Call Report,2/6/2024,DSA TOP 30,3501A1
1886540630,Sample Only,POC Call Report,6/6/2024,DSA NEXT BEST,3303A1
1640728190,Sample Only,HCP Call,2/4/2024,DSA NT AFFILIATE,3601A1
,Detail with Sample,Group Training,,DSS TOP 30,3301A1
2010120804,Call Only,SAM HCO Call Report,6/8/2024,DSA NT AFFILIATE,3501A1
1741293654,Sample Only,P2P Call,6/2/2024,DSA NT AFFILIATE,3103A1
2218965008,Call Only,P2P Call,12/8/2024,NON-TARGET,3203S1
1608184287,Detail with Sample,P2P Call,12/22/2024,DSA TOP 30,3601A1
,Group Detail,SAM HCO Call Report,10/4/2024,DSA NEXT BEST,3101A1
1200721718,Detail Only,POC Call Report,2/15/2024,NON-TARGET,3102A1
1604544591,Group Detail,Sampled Call,3/17/2024,DSS TOP 30,3303A1
1901381820,Group Detail,Non-Sampled Call,10/25/2024,DSS TOP 30,3102A1
2704833793,Group Detail,POC Call Report,9/30/2024,DSA TOP 30,3302A1
1889868798,Detail with Sample,Group Training,1/13/2024,NON-TARGET,3202S1
2517437527,Detail with Sample,Non-Sampled Call,5/26/2024,DSA NEXT BEST,3201S1
,Detail Only,Group Training,7/13/2024,DSA NEXT BEST,3602S1
2087077000,Detail with Sample,HCP Call,,NON-TARGET,3402S1
1219179080,Sample Only,Sampled Call,1/16/2024,DSA NEXT BEST,3103A1
1468216500,Detail Only,POC Call Report,11/4/2024,NON-TARGET,3402S1
2466180235,Sample Only,P2P Call,1/11/2024,DSA NT AFFILIATE,3102A1
,Detail with Sample,Marketing Event,11/14/2024,DSA TOP 30,3102A1
1857848335,Detail with Sample,Marketing Event,9/9/2024,DSS TOP 30,3103A1
1902240736,Call Only,Sampled Call,11/17/2024,DSS TOP 30,3502S1
1799315039,Sample Only,HCP Call,6/3/2024,DSS TOP 30,3202S1
,Detail Only,SAM HCO Call Report,,DSA TOP 30,3602S1
1995399118,Detail with Sample,Sampled Call,6/26/2024,NON-TARGET,3303A1
2354555621,Sample Only,HCP Call,8/15/2024,NON-TARGET,3303A1
1233122959,Call Only,HCP Call,9/16/2024,DSA TOP 30,3602S1
,Group Detail,P2P Call,,DSS TOP 30,3501A1
1957078213,Sample Only,Sampled Call,6/20/2024,DSA NEXT BEST,3302A1
,Group Detail,Marketing Event,,DSA NT AFFILIATE,3101A1
1211536881,Detail Only,Non-Sampled Call,11/10/2024,NON-TARGET,3501A1
,Detail with Sample,POC Call Report,6/23/2024,DSA TOP 30,3203S1
2758767806,Detail with Sample,P2P Call,11/15/2024,DSA TOP 30,3103A1
2447984465,Call Only,Non-Sampled Call,12/31/2024,DSA TOP 30,3402S1
2841029172,Detail with Sample,Group Training,6/1/2024,DSS TOP 30,3301A1
1474773288,Call Only,Sampled Call,10/20/2024,DSA NT AFFILIATE,3202S1
1541922264,Call Only,Group Training,8/6/2024,DSS TOP 30,3302A1
,Sample Only,Non-Sampled Call,9/6/2024,DSA TOP 30,3502S1
2825185735,Sample Only,P2P Call,12/29/2024,DSA NEXT BEST,3201S1
2400067654,Sample Only,Event Call Report,11/16/2024,DSA NT AFFILIATE,3203S1
4A55D420ED,Detail with Sample,P2P Call,9/28/2024,DSA TOP 30,3502S1
2246637587,Detail Only,Marketing Event,12/21/2024,DSA NT AFFILIATE,3401S1
1458414354,Detail with Sample,Event Call Report,9/30/2024,NON-TARGET,3201S1
1302221336,Group Detail,POC Call Report,8/5/2024,NON-TARGET,3103A1
1688298775,Detail with Sample,Group Training,4/11/2024,DSA NT AFFILIATE,3601A1
2038168049,Detail Only,Marketing Event,9/8/2024,DSA NT AFFILIATE,3203S1
2976019824,Detail Only,Group Training,5/7/2024,DSA TOP 30,3301A1
1703939901,Group Detail,P2P Call,12/16/2024,DSA TOP 30,3301A1
2983656469,Detail with Sample,SAM HCO Call Report,8/16/2024,DSA TOP 30,3401S1
1079892814,Detail with Sample,Marketing Event,12/7/2024,DSA TOP 30,3501A1
1831990773,Sample Only,Non-Sampled Call,5/6/2024,DSA NEXT BEST,3203S1
2986446686,Call Only,P2P Call,6/10/2024,DSA NT AFFILIATE,3302A1
2237745613,Call Only,Group Training,,DSA NEXT BEST,3401S1
,Detail with Sample,HCP Call,12/29/2024,NON-TARGET,3101A1
1852502762,Sample Only,Non-Sampled Call,12/22/2024,DSA NEXT BEST,3302A1
2580948616,Sample Only,P2P Call,7/8/2024,DSA NEXT BEST,3601A1
1032240911,Call Only,Group Training,11/11/2024,DSA NT AFFILIATE,3301A1
6BC472D170,Group Detail,Marketing Event,,NON-TARGET,3301A1
1726951641,Detail with Sample,Group Training,8/26/2024,DSA NEXT BEST,3103A1
2280742202,Sample Only,POC Call Report,4/8/2024,DSA NEXT BEST,3501A1
1095493175,Sample Only,Marketing Event,8/17/2024,DSA NEXT BEST,3601A1
825BDD0640,Detail with Sample,Non-Sampled Call,2/16/2024,NON-TARGET,3301A1
1793764836,Call Only,P2P Call,1/28/2024,NON-TARGET,3303A1
2179792557,Sample Only,P2P Call,9/15/2024,DSA NT AFFILIATE,3201S1
2074243185,Detail with Sample,POC Call Report,6/12/2024,DSA NT AFFILIATE,3502S1
1841133521,Group Detail,SAM HCO Call Report,5/23/2024,DSA NEXT BEST,3401S1
1217419108,Sample Only,Event Call Report,10/31/2024,DSA NT AFFILIATE,3501A1
2199220738,Call Only,Group Training,5/9/2024,DSA NEXT BEST,3303A1
2260343229,Call Only,SAM HCO Call Report,6/19/2024,NON-TARGET,3203S1
1643337775,Sample Only,SAM HCO Call Report,2/27/2024,DSA NT AFFILIATE,3202S1
1687054641,Sample Only,Sampled Call,4/26/2024,DSA TOP 30,3101A1
2396745503,Group Detail,P2P Call,,DSA NEXT BEST,3103A1
,Detail Only,Sampled Call,1/25/2024,DSA TOP 30,3302A1
,Detail with Sample,Marketing Event,,DSA TOP 30,3302A1
,Detail Only,HCP Call,,DSA NT AFFILIATE,3202S1
1416219697,Group Detail,P2P Call,2/5/2024,DSA NT AFFILIATE,3102A1
1583980816,Call Only,Event Call Report,7/10/2024,DSA NEXT BEST,3201S1
2253743260,Group Detail,Non-Sampled Call,5/30/2024,DSA TOP 30,3301A1
,Group Detail,Non-Sampled Call,1/10/2024,DSA NT AFFILIATE,3103A1
2327160491,Sample Only,Event Call Report,8/7/2024,DSS TOP 30,3202S1
2354933984,Call Only,POC Call Report,3/9/2024,NON-TARGET,3502S1
7AFF00E10C,Detail with Sample,Group Training,6/25/2024,DSA NEXT BEST,3102A1
1803710423,Call Only,SAM HCO Call Report,1/1/2024,DSA NEXT BEST,3103A1
1007269465,Sample Only,POC Call Report,7/10/2024,NON-TARGET,3601A1
2268306586,Detail with Sample,Marketing Event,10/24/2024,DSA NEXT BEST,3302A1
1630516308,Detail Only,Non-Sampled Call,4/28/2024,NON-TARGET,3103A1
2685865186,Group Detail,Non-Sampled Call,5/9/2024,NON-TARGET,3402S1
2043771712,Sample Only,POC Call Report,,DSA NEXT BEST,3201S1
2629954310,Sample Only,Group Training,,DSA TOP 30,3601A1
28B6DE648F,Sample Only,Marketing Event,4/29/2024,DSS TOP 30,3201S1
2813399678,Call Only,Marketing Event,11/5/2024,DSA NEXT BEST,3301A1
2538799210,Detail with Sample,Sampled Call,,DSS TOP 30,3602S1
1195137300,Detail Only,POC Call Report,8/12/2024,DSA NT AFFILIATE,3402S1
2396882454,Sample Only,Group Training,7/13/2024,DSA NT AFFILIATE,3501A1
,Detail with Sample,Marketing Event,,DSA NT AFFILIATE,3502S1
2225625387,Sample Only,Marketing Event,2/2/2024,DSA NT AFFILIATE,3502S1
1847853932,Group Detail,Marketing Event,11/18/2024,NON-TARGET,3301A1
